word,neighbour,i
mike,slows,1
mike,hugs,2
mike,indices,3
mike,persona,4
mike,wiser,5
mike,clean-up,6
mike,chile,7
mike,insights,8
mike,protests,9
mike,alma,10
reindeer,birch,1
reindeer,arctic,2
reindeer,halibut,3
reindeer,frozen,4
reindeer,tundra,5
reindeer,cranberry,6
reindeer,snowdrift,7
reindeer,kayak,8
reindeer,ice,9
reindeer,herring,10
bet,closet,1
bet,lock,2
bet,swear,3
bet,bell,4
bet,handkerchief,5
bet,saucer,6
bet,betting,7
bet,dank,8
bet,stub,9
bet,lag,10
kangaroo,kangaroos,1
kangaroo,aboriginal,2
kangaroo,emus,3
kangaroo,emu,4
kangaroo,dreaming,5
kangaroo,creek,6
kangaroo,sisters,7
kangaroo,spears,8
kangaroo,spear,9
kangaroo,camp,10
kayak,parka,1
kayak,caribou,2
kayak,caches,3
kayak,tundra,4
kayak,sled,5
kayak,cache,6
kayak,reindeer,7
kayak,store-bought,8
kayak,bluffs,9
kayak,arctic,10
parka,kayak,1
parka,caribou,2
parka,caches,3
parka,tundra,4
parka,sled,5
parka,cache,6
parka,store-bought,7
parka,reindeer,8
parka,philtrum,9
parka,mittens,10
hooker,booze,1
hooker,therapist,2
hooker,gamble,3
hooker,bastard,4
hooker,hilltop,5
hooker,reliability,6
hooker,nutty,7
hooker,boobs,8
hooker,lousy,9
hooker,handgun,10
totem,initiation,1
totem,saltwater,2
totem,bark,3
totem,spear,4
totem,axe,5
totem,aboriginal,6
totem,swamp,7
totem,hunting,8
totem,spears,9
totem,mother-in-law,10
upland,forested,1
upland,symbolized,2
upland,scallops,3
upland,odor,4
upland,blade,5
upland,squeal,6
upland,appendix,7
upland,theme,8
upland,shank,9
upland,fibers,10
accompaniment,textual,1
accompaniment,pronouncement,2
accompaniment,stronghold,3
accompaniment,exodus,4
accompaniment,benefit,5
accompaniment,introducing,6
accompaniment,oriental,7
accompaniment,genesis,8
accompaniment,humankind,9
accompaniment,finite,10
alma,persona,1
alma,sus,2
alma,mike,3
alma,iris,4
alma,dab,5
alma,pitfalls,6
alma,liturgical,7
alma,sealed,8
alma,mania,9
alma,alfalfa,10
grandma,grandpa,1
grandma,flipped,2
grandma,computers,3
grandma,need,4
grandma,needs,5
grandma,ranchers,6
grandma,goalie,7
grandma,bikes,8
grandma,stir-fry,9
grandma,tractors,10
lagoon,shark,1
lagoon,reef,2
lagoon,breadfruit,3
lagoon,crab,4
lagoon,octopus,5
lagoon,fishing,6
lagoon,sharks,7
lagoon,turtles,8
lagoon,snapper,9
lagoon,canoe,10
moose,caribou,1
moose,beaver,2
moose,sled,3
moose,blueberry,4
moose,cache,5
moose,caches,6
moose,cranberry,7
moose,birch,8
moose,spruce,9
moose,narrows,10
inlet,grouse,1
inlet,halibut,2
inlet,glacier,3
inlet,cranberry,4
inlet,trout,5
inlet,spruce,6
inlet,cabin,7
inlet,whale,8
inlet,mink,9
inlet,cove,10
informant,informants,1
informant,anthropology,2
informant,anthropological,3
informant,linguistic,4
informant,anthropologist,5
informant,identifiable,6
informant,semantics,7
informant,kinship,8
informant,transcription,9
informant,vagina,10
drumming,hunters,1
drumming,brushing,2
drumming,drums,3
drumming,toes,4
drumming,swinging,5
drumming,drying,6
drumming,jumping,7
drumming,red,8
drumming,waist,9
drumming,foot,10
flex,skid,1
flex,merge,2
flex,plug,3
flex,grip,4
flex,deflect,5
flex,insulation,6
flex,gap,7
flex,barrier,8
flex,identify,9
flex,groggy,10
lava,polo,1
lava,breadfruits,2
lava,oven,3
lava,chiefs,4
lava,solo,5
lava,mama,6
lava,toe,7
lava,tofu,8
lava,mats,9
lava,pea,10
caribou,caches,1
caribou,kayak,2
caribou,parka,3
caribou,moose,4
caribou,cache,5
caribou,sled,6
caribou,tundra,7
caribou,downriver,8
caribou,blueberry,9
caribou,steelhead,10
coyote,coyotes,1
coyote,pueblo,2
coyote,rattlesnake,3
coyote,skunk,4
coyote,cactus,5
coyote,tortilla,6
coyote,canyon,7
coyote,sagebrush,8
coyote,prairie,9
coyote,raccoon,10
beaver,berry,1
beaver,moose,2
beaver,cranberry,3
beaver,otter,4
beaver,willow,5
beaver,grizzly,6
beaver,kettle,7
beaver,grease,8
beaver,frozen,9
beaver,maple,10
legion,curb,1
legion,ratify,2
legion,repeal,3
legion,prodigy,4
legion,stoic,5
legion,senate,6
legion,senators,7
legion,capitol,8
legion,cohort,9
legion,oculis,10
hammock,shrimp,1
hammock,slice,2
hammock,handkerchief,3
hammock,eyelid,4
hammock,measles,5
hammock,mosquito,6
hammock,sticky,7
hammock,relapse,8
hammock,chicken,9
hammock,rooster,10
oatmeal,stocking,1
oatmeal,skate,2
oatmeal,trout,3
oatmeal,rink,4
oatmeal,chimney,5
oatmeal,frost,6
oatmeal,mittens,7
oatmeal,spruce,8
oatmeal,pail,9
oatmeal,hash,10
gamble,son-in-law,1
gamble,midnight,2
gamble,squirrel,3
gamble,shawl,4
gamble,strawberry,5
gamble,borrow,6
gamble,invite,7
gamble,niece,8
gamble,widower,9
gamble,measles,10
chile,macho,1
chile,tortilla,2
chile,pueblo,3
chile,cactus,4
chile,tortillas,5
chile,tequila,6
chile,chiles,7
chile,cowboy,8
chile,patio,9
chile,persona,10
cactus,coyote,1
cactus,adobe,2
cactus,pueblo,3
cactus,tortilla,4
cactus,rattlesnake,5
cactus,coyotes,6
cactus,corral,7
cactus,chile,8
cactus,tortillas,9
cactus,cowboy,10
cedar,eagle,1
cedar,skunk,2
cedar,beaver,3
cedar,raccoon,4
cedar,prairie,5
cedar,leggings,6
cedar,berries,7
cedar,rattlesnake,8
cedar,berry,9
cedar,blanket,10
senate,senators,1
senate,legion,2
senate,oratory,3
senate,rhetoric,4
senate,devise,5
senate,oblige,6
senate,infamous,7
senate,oculis,8
senate,capitol,9
senate,stoic,10
mangrove,crab,1
mangrove,fish,2
mangrove,coconut,3
mangrove,swamp,4
mangrove,shell,5
mangrove,turtle,6
mangrove,shark,7
mangrove,coconuts,8
mangrove,snapper,9
mangrove,turtles,10
termite,termites,1
termite,lizard,2
termite,firewood,3
termite,edible,4
termite,caterpillar,5
termite,pregnant,6
termite,bush,7
termite,clitoris,8
termite,trap,9
termite,twins,10
habitat,glucose,1
habitat,distinctive,2
habitat,range,3
habitat,varied,4
habitat,melodic,5
habitat,habitats,6
habitat,chorus,7
habitat,overall,8
habitat,processing,9
habitat,pests,10
mainland,seaweed,1
mainland,beach,2
mainland,whale,3
mainland,coast,4
mainland,island,5
mainland,islands,6
mainland,tide,7
mainland,bay,8
mainland,beaches,9
mainland,breakers,10
mantel,teller,1
mantel,stall,2
mantel,magnet,3
mantel,motto,4
mantel,posse,5
mantel,knight,6
mantel,soluble,7
mantel,loft,8
mantel,rail,9
mantel,kinder,10
corpus,archaeology,1
corpus,phenomenon,2
corpus,structural,3
corpus,symposium,4
corpus,document,5
corpus,texts,6
corpus,sources,7
corpus,specification,8
corpus,methodology,9
corpus,anomalous,10
breadfruit,reef,1
breadfruit,pandanus,2
breadfruit,taro,3
breadfruit,coconuts,4
breadfruit,crab,5
breadfruit,canoe,6
breadfruit,coral,7
breadfruit,canoes,8
breadfruit,coconut,9
breadfruit,octopus,10
synagogue,rabbi,1
synagogue,rabbis,2
synagogue,miracle,3
synagogue,atonement,4
synagogue,diaspora,5
synagogue,eve,6
synagogue,woe,7
synagogue,blessed,8
synagogue,synagogues,9
synagogue,merciful,10
taro,pandanus,1
taro,breadfruit,2
taro,coconuts,3
taro,reef,4
taro,bananas,5
taro,shell,6
taro,banana,7
taro,pig,8
taro,crab,9
taro,coconut,10
punt,motto,1
punt,mould,2
punt,filler,3
punt,sucker,4
punt,spanning,5
punt,stemming,6
punt,dank,7
punt,slot,8
punt,westers,9
punt,span,10
fiesta,pesos,1
fiesta,peso,2
fiesta,plaza,3
fiesta,tortilla,4
fiesta,tortillas,5
fiesta,corral,6
fiesta,pueblo,7
fiesta,macho,8
fiesta,avocado,9
fiesta,salsa,10
china,chopsticks,1
china,bandits,2
china,opium,3
